corner_id,m,n,dm,dn
12119,2,11,1,6
12120,2,5,3,8
12122,2,7,1,4
12125,3,2,4,3
12125,3,16,2,12
12126,2,7,1,4
12127,5,3,8,5
12127,5,16,6,20
12140,2,5,1,3
12141,3,2,1,1
12142,8,3,5,2
12142,5,6,6,8
12142,2,9,3,18
12142,4,21,3,18
12144,2,3,3,5
12181,5,2,2,1
12181,3,4,2,4
12203,2,13,1,7
12235,2,7,1,4
12236,3,7,2,5
12238,3,5,4,7
12239,2,3,5,8
12260,3,10,2,7
12272,4,9,3,7
12274,2,9,1,5
12278,2,9,1,5
12280,4,9,3,7
12282,2,9,1,5
12284,4,9,3,7
12286,3,7,2,5
12289,4,9,3,7
12291,2,7,1,4
12292,2,3,5,8
12293,3,5,4,7
12295,3,7,2,5
12296,2,7,1,4
12300,2,7,1,4
12301,3,7,2,5
12303,3,5,4,7
12304,2,3,5,8
12306,2,7,1,4
12307,3,7,2,5
12309,3,5,4,7
12310,2,3,5,8
12311,2,3,3,5
12317,2,7,1,4
12320,3,2,4,3
12320,3,16,2,12
12326,2,7,1,4
12329,3,2,4,3
12329,3,16,2,12
12333,2,7,1,4
12336,3,2,4,3
12336,3,16,2,12
12342,2,5,1,3
12343,3,2,1,1
12344,8,3,5,2
12344,5,6,6,8
12344,2,9,3,18
12344,4,21,3,18
12346,2,5,1,3
12347,3,2,1,1
12348,8,3,5,2
12348,5,6,6,8
12348,2,9,3,18
12348,4,21,3,18
12350,2,5,1,3
12351,3,2,1,1
12352,8,3,5,2
12352,5,6,6,8
12352,2,9,3,18
12352,4,21,3,18
12368,2,7,1,4
12369,3,7,2,5
13157,2,5,1,3
13158,4,5,3,4
13160,6,5,7,6
13160,3,34,2,24
13161,4,3,9,7
13161,2,13,1,7
13163,3,2,1,1
13164,2,3,1,2
13166,11,2,5,1
13166,5,2,2,1
13166,3,2,1,1
13166,3,4,2,4
13166,2,5,5,25
13166,3,10,5,25
13166,4,15,5,25
13166,6,25,5,25
13263,3,4,2,3
13359,3,4,2,3
13468,3,4,2,3
13605,3,4,2,3
13910,2,7,1,4
13911,3,7,2,5
